,Unnamed: 0,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold,prompt,gpt3_out,clean_reason
10,10,1414783164044677121,1414783355430834180,old,Expensive vs cheap vodka: does it matter?, the trick: run cheap vodka through a britta filter,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Expensive vs cheap vodka: does it matter?
Answer: the trick: run cheap vodka through a britta filter"," a few times.

The given answer can be interpreted as ""no."", because the answerer provides a way to make cheap vodka taste just as good as expensive vodka.", provides a way to make cheap vodka taste just as good as expensive vodka
11,11,1471985146891059206,1471985474621173763,old,I got your back. Do you got mine?, idk but u should cashapp me $plasmanaw,uk,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: I got your back. Do you got mine?
Answer: idk but u should cashapp me $plasmanaw","
The given answer can be interpreted as ""no."", because the answerer does not answer the question and instead requests money.", does not answer the question and instead requests money
12,12,1450917556957687814,1450968900242272256,old,Do you believe career politicians have any right to exist?," no. they should have term limits, just like presidents.",n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you believe career politicians have any right to exist?
Answer: no. they should have term limits, just like presidents.","
The given answer can be interpreted as ""no."", because the answerer believes that career politicians should not have any right to exist.", believes that career politicians should not have any right to exist
13,13,1441078728621105165,1441079574335528961,old,Do you still use Facebook?, nope... not since 2017... i don't miss it a bit...,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you still use Facebook?
Answer: nope... not since 2017... i don't miss it a bit...","

The given answer can be interpreted as ""no."", because the answerer says that he or she doesn't use Facebook anymore and doesn't miss it.", says that he or she doesn't use facebook anymore and doesn't miss it
14,14,1396591030942769156,1396595863984738312,old,"Lakers fans, do you want to talk about it?", it's one game. pump the brakes man.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Lakers fans, do you want to talk about it?
Answer: it's one game. pump the brakes man.","

The given answer can be interpreted as ""no."", because the answerer downplays the importance of the Lakers' recent success.", downplays the importance of the lakers' recent success
15,15,1402939403920560129,1402948255340646402,old,My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?, i learnt to drive in a manual.,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?
Answer: i learnt to drive in a manual.","

The answer to the question could be interpreted as ""no"", because the person answering the question says that they learned to drive in a manual, which implies that it is not unusual for females to be able to drive manuals.","

the answer to the question could be interpreted as ""no"", because the person answering the question says that they learned to drive in a manual, which implies that it is not unusual for females to be able to drive manuals"
16,16,1424421758732537861,1424422019635073024,old,Is it too early to pull him?," he needs to throw that sinker/changeup, cant locate the fastball at all",n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it too early to pull him?
Answer: he needs to throw that sinker/changeup, cant locate the fastball at all","

No, it is not too early to pull him.","

no, it is not too early to pull him"
17,17,1399650555773980677,1400501874667581443,old,Do you think that inmates should get access to free university education while in prison?," if our intent is to rehabilitate, we should absolutely offer higher education to inmates.",py,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you think that inmates should get access to free university education while in prison?
Answer: if our intent is to rehabilitate, we should absolutely offer higher education to inmates.","

The given answer can be interpreted as ""yes."", because the answerer believes that inmates should have access to free university education.", believes that inmates should have access to free university education
18,18,1453458972975972356,1453664318822789123,old,New Poll : Do you believe that it should be compulsory for frontline healthcare workers to be vaccinated before dealing with patients?, jabbed staff can still catch and transmit the virus.,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: New Poll : Do you believe that it should be compulsory for frontline healthcare workers to be vaccinated before dealing with patients?
Answer: jabbed staff can still catch and transmit the virus.","

The given answer can be interpreted as ""no."", because the answerer believes that vaccinated frontline healthcare workers can still catch and transmit the virus.", believes that vaccinated frontline healthcare workers can still catch and transmit the virus
19,19,1402603886897242112,1402607153513472004,old,Is it enough?," that's one signing money taken away from arsenal. i would say, be very excited!",y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it enough?
Answer: that's one signing money taken away from arsenal. i would say, be very excited!","

The given answer can be interpreted as ""no."", because the answerer mentions that there is one signing money taken away from arsenal.", mentions that there is one signing money taken away from arsenal
20,20,1386167711563014149,1386169032534069248,old,"If a toe is swollen and blue, is it broken?", just ignore it and it’ll go away ♥️,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: If a toe is swollen and blue, is it broken?
Answer: just ignore it and it’ll go away ♥️","

This answer is unhelpful and does not address the question.","

this answer is unhelpful and does not address the question"
21,21,1445840600931004417,1445841264361054208,old,Is it tacky to put Muscle Milk in your coffee?, not if you’re trying to get jacked…,pn,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it tacky to put Muscle Milk in your coffee?
Answer: not if you’re trying to get jacked…"," 

The given answer could be interpreted as ""no."", because the answerer is saying that it is not tacky to put Muscle Milk in coffee if the goal is to get ""jacked"" or in other words, to build muscle."," is saying that it is not tacky to put muscle milk in coffee if the goal is to get ""jacked"" or in other words, to build muscle"
22,22,1405641412679450628,1405929392153546756,old,Do you actually spend time watching other streamers in search of inspiration for your own content?, i do! and then seek collabs! 🥰,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you actually spend time watching other streamers in search of inspiration for your own content?
Answer: i do! and then seek collabs! 🥰","

The given answer can be interpreted as ""yes."", because the answerer mentions that he or she watches other streamers for inspiration and content ideas.", mentions that he or she watches other streamers for inspiration and content ideas
23,23,1415752260479508495,1415754955001057288,old,"Looking at all these recount results I gotta wonder, is it possible to recall a president?"," if fraud is proven, they have to do something.",py,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Looking at all these recount results I gotta wonder, is it possible to recall a president?
Answer: if fraud is proven, they have to do something.","
The answer to this question is ""no"", because it is not possible to recall a president.","
the answer to this question is ""no"", because it is not possible to recall a president"
24,24,1414783164044677121,1414791021825826816,old,Expensive vs cheap vodka: does it matter?, you'll feel the difference the next day. cheap=big headache.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Expensive vs cheap vodka: does it matter?
Answer: you'll feel the difference the next day. cheap=big headache.","

The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.", mentions a list of weird things he or she is really good at
25,25,1457976234281930757,1457981587707113477,old,Is it because I am now Dead Old that I just can’t see NFTs as anything other than a massive con?, i must be dead dead dead old i had to look up what nft's were!,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it because I am now Dead Old that I just can’t see NFTs as anything other than a massive con?
Answer: i must be dead dead dead old i had to look up what nft's were!","

The given answer can be interpreted as ""yes."", because the answerer says that he or she is too old to understand what NFTs are.", says that he or she is too old to understand what nfts are
26,26,1382523916795604995,1382524666359734273,old,do you guys like mailing lists?, i never read mailing lists 😬 but texts with important info i always see,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: do you guys like mailing lists?
Answer: i never read mailing lists 😬 but texts with important info i always see"," and read!

The given answer can be interpreted as ""no."", because the answerer says they never read mailing lists.", says they never read mailing lists
27,27,1395055649109708803,1395060168040255492,old,"excuse me, like button, do you mind if i tap that?", yo... it's primed and ready for you. 👀,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: excuse me, like button, do you mind if i tap that?
Answer: yo... it's primed and ready for you. 👀","

The answer to the question could be interpreted as ""no"", because the person is telling the asker that they don't mind if they tap the like button.","

the answer to the question could be interpreted as ""no"", because the person is telling the asker that they don't mind if they tap the like button"
28,28,1387401739498831876,1387411792603795459,old,"Is it OK for politicians to impose ruinous debt, a failed state, and a broken civilization on your future grandkids?"," this was a tough one. went with no, glad to see others felt the same.",n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it OK for politicians to impose ruinous debt, a failed state, and a broken civilization on your future grandkids?
Answer: this was a tough one. went with no, glad to see others felt the same.","

The given answer can be interpreted as ""no."", because the answerer believes that it is not OK for politicians to impose ruinous debt, a failed state, and a broken civilization on future grandkids."," believes that it is not ok for politicians to impose ruinous debt, a failed state, and a broken civilization on future grandkids"
29,29,1470482564288811013,1470482767305654277,old,Do you think local governments should enforce the statewide mask mandate?, this is america land of the free for a reason not thr ussr!,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you think local governments should enforce the statewide mask mandate?
Answer: this is america land of the free for a reason not thr ussr!","

The given answer can be interpreted as ""no."", because the answerer mentions that America is a land of the free and not the USSR.", mentions that america is a land of the free and not the ussr
30,30,1411776697683357700,1412195723983167490,old,"Does it tear a hole in the space-time continuum if you take a knee for the ""black national anthem"" ?", talking a knee is too much reverence. give it two middle fingers,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Does it tear a hole in the space-time continuum if you take a knee for the ""black national anthem"" ?
Answer: talking a knee is too much reverence. give it two middle fingers",".

No, it does not tear a hole in the space-time continuum if you take a knee for the ""black national anthem.""",".

no, it does not tear a hole in the space-time continuum if you take a knee for the ""black national anthem."""
31,31,1450330006320730116,1450331525875003392,old,Is it weird I want someone to spank me rn?, only if you want them to call you a family members name,py,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it weird I want someone to spank me rn?
Answer: only if you want them to call you a family members name", while they do it, while they do it
32,32,1439730827684892673,1439733236918374404,old,"Chargers fans, do you want to talk about it?", you’re not the lions stop acting like the refs are completely against you,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Chargers fans, do you want to talk about it?
Answer: you’re not the lions stop acting like the refs are completely against you","
This answer can be interpreted as ""no."", because the Chargers fans are not given a chance to talk about it.","
this answer can be interpreted as ""no."", because the chargers fans are not given a chance to talk about it"
33,33,1418240730636513282,1418245831216570381,old,Is it too much to ask that our public health officials *look* healthy?," never trust a fat guy, not even santa claus",n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it too much to ask that our public health officials *look* healthy?
Answer: never trust a fat guy, not even santa claus",".

The given answer can be interpreted as ""yes."", because the answerer is saying that it is not unreasonable to want our public health officials to look healthy.", is saying that it is not unreasonable to want our public health officials to look healthy
34,34,1437793299448860679,1438173085644070918,old,Do you feel confident talking about money with your partner?, i don't feel confident talking to tsb about money!!,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you feel confident talking about money with your partner?
Answer: i don't feel confident talking to tsb about money!!","

The given answer can be interpreted as ""no."", because the answerer expresses feelings of insecurity and lack of confidence when discussing money with their partner.", expresses feelings of insecurity and lack of confidence when discussing money with their partner
35,35,1392519214406242305,1395249568099409923,old,Do you support taxpayer cash for illegal aliens?," right is right 
wrong is wrong.
you just don't do wrong. 
enough said.",n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you support taxpayer cash for illegal aliens?
Answer: right is right 
wrong is wrong.
you just don't do wrong. 
enough said.","

This answer could be interpreted as a ""no."", because the answerer seems to be against doing anything wrong, including giving taxpayer cash to illegal aliens."," seems to be against doing anything wrong, including giving taxpayer cash to illegal aliens"
36,36,1405210415093600256,1405215508966739969,old,Do you smell something?, i feel like you're watching me. 😳,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you smell something?
Answer: i feel like you're watching me. 😳","
The given answer could be interpreted as ""no"", because the answerer does not mention anything about smelling something.", does not mention anything about smelling something
37,37,1397995274501513216,1398001610933116930,old,Stepped outside & started sweating instantly. Is it Fall yet?, right!! bring back fall lol. 🍂,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Stepped outside & started sweating instantly. Is it Fall yet?
Answer: right!! bring back fall lol. 🍂","

The given answer can be interpreted as ""yes."", because the answerer mentions that they are excited for fall weather.", mentions that they are excited for fall weather
38,38,1461418050268405761,1461442274349535241,old,Do you believe in the death penalty?, not once i found out about the injustice behind it.,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you believe in the death penalty?
Answer: not once i found out about the injustice behind it.","

The given answer can be interpreted as ""no."", because the answerer mentions that they do not believe in the death penalty after finding out about the injustice behind it.", mentions that they do not believe in the death penalty after finding out about the injustice behind it
39,39,1449419678028234753,1449427812868317187,old,Do you have any weird things that you’re really really good at?, bananagrams.  only bananagrams.  does not translate to other types of word games.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you have any weird things that you’re really really good at?
Answer: bananagrams.  only bananagrams.  does not translate to other types of word games.","

The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.", mentions a list of weird things he or she is really good at
40,40,1456765662072819714,1456769915143196679,old,Do you want OBJ on your team?, i’m not sure how good he’d be in the nba but sure,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you want OBJ on your team?
Answer: i’m not sure how good he’d be in the nba but sure"," he’d be good
The given answer can be interpreted as ""no."", because the answerer is unsure of how good the person would be in the given context.", is unsure of how good the person would be in the given context
41,41,1405709604986789890,1405712013725216771,old,Do you accept DOGE?, you asked for it. i’m happy to accept it. 🙏🏻d8rhsvt4bmzppffehjmxkzkpbddzzulnfd,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you accept DOGE?
Answer: you asked for it. i’m happy to accept it. 🙏🏻d8rhsvt4bmzppffehjmxkzkpbddzzulnfd","jxgmzpzqqx8q8fpzvzym3nvq3q
The given answer can be interpreted as ""yes."", because the answerer indicates that he or she is happy to accept DOGE.", indicates that he or she is happy to accept doge
42,42,1433636376298147840,1433682208284454952,old,Is it okay to wonder if this is RBG's biggest legacy?, “i don’t want a man who wears a tan suit to choose my replacement”,uk,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it okay to wonder if this is RBG's biggest legacy?
Answer: “i don’t want a man who wears a tan suit to choose my replacement”","


The answer to the question could be interpreted as ""yes"", because the person quoted is saying that she wants a woman to choose her replacement, which could be seen as a legacy of RBG.","


the answer to the question could be interpreted as ""yes"", because the person quoted is saying that she wants a woman to choose her replacement, which could be seen as a legacy of rbg"
43,43,1473424242255478785,1473428974525165574,old,Is it too early for bed?, if you're able to...go for it!,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it too early for bed?
Answer: if you're able to...go for it!","

The given answer can be interpreted as ""no."", because the answerer is encouraging the person to go to bed if they are able to.", is encouraging the person to go to bed if they are able to
44,44,1459233909632286723,1459236196400332803,old,Cycling twitter: is it common that cyclists listen to music while riding?, my experience is only about 20% tops. i’m mostly road/tri.,pn,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Cycling twitter: is it common that cyclists listen to music while riding?
Answer: my experience is only about 20% tops. i’m mostly road/tri.","
The given answer can be interpreted as ""no."", because the answerer states that in their experience, it is not common for cyclists to listen to music while riding."," states that in their experience, it is not common for cyclists to listen to music while riding"
45,45,1461624625922719745,1461642119668404224,old,Is it still legal to be pro-vaccines but against vaccine mandates?, i'm impressed by the myriad of ways that can be expressed.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it still legal to be pro-vaccines but against vaccine mandates?
Answer: i'm impressed by the myriad of ways that can be expressed.","

The given answer can be interpreted as ""no."", because the answerer is not answering the question directly.", is not answering the question directly
46,46,1468316045567954951,1468345880906448899,old,So do you trust this bounce?, let's see where it stops.. everything else are speculations,uk,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: So do you trust this bounce?
Answer: let's see where it stops.. everything else are speculations","
The given answer can be interpreted as ""no."", because the answerer says ""everything else are speculations"", meaning that he or she does not trust the bounce."," says ""everything else are speculations"", meaning that he or she does not trust the bounce"
47,47,1459233909632286723,1459402121808211969,old,Cycling twitter: is it common that cyclists listen to music while riding?, i play music out of my phone. would never consider headphones while riding.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Cycling twitter: is it common that cyclists listen to music while riding?
Answer: i play music out of my phone. would never consider headphones while riding.","

The given answer can be interpreted as ""no."", because the answerer says that he or she would never consider listening to music while riding.", says that he or she would never consider listening to music while riding
48,48,1446136959697670145,1446140949160087553,old,I believe cannabis is a medicine. The question is… do you?, let me smoke a bowl and get back to you.,uk,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: I believe cannabis is a medicine. The question is… do you?
Answer: let me smoke a bowl and get back to you.","

Question:

What are some of your favorite things to do in your free time?

Some of my favorite things to do in my free time include reading, hiking, and spending time with friends and family.","

question:

what are some of your favorite things to do in your free time?

some of my favorite things to do in my free time include reading, hiking, and spending time with friends and family"
49,49,1445495254447104008,1445527642040516611,old,Do you believe that a league MVP should be from a playoff team?, be like the nba or the nfl. don’t be in the middle.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you believe that a league MVP should be from a playoff team?
Answer: be like the nba or the nfl. don’t be in the middle.","

The given answer can be interpreted as ""no."", because the answerer is saying that a league MVP should not be from a playoff team.", is saying that a league mvp should not be from a playoff team
